Category,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,Jun-25,Nonzero Month Count,One Time Expense,Marginal Cost per $1 GP,Fixed Cost Estimate,R_ Linear,GP Elasticity (Log-Log),Anchor Month Deviates from Trend ($),Model Status,Model Fixed Component (Anchor),Model Variable Component (Anchor),"Expected Anchor (Model, Unscaled)",Expected Anchor (Smoothed),Expected Anchor (Section-Reconciled),Reconciled Anchor Month Expense (Legacy Global),Reconciled Anchor Month Expense,Estimated Anchor Month Expense,Mean Prior Months Expense,Mean All Months Expense,Anchor vs Prior Avg ($),Ratio_Change_Anchor_vs_MeanPrior,Expense vs GP Growth Ratio,Expense Growth Alignment,Best Performing (Cost Decline Rank),Efficiency Alert,GP Elasticity Classification,Margin Risk Assessment,Performance Diagnostic Assignment,Marketing Spend Efficiency,Expense Trend Slope,Gross Profit Trend Slope,Trend Diagnostic,Anchor Month Scenario,Ranking Priority,Section Code,Section Scale (Variable),Section Scale (Fixed),Actual Anchor Expense,Model Quality Weight,Expected (Reconciled),Excess_$,Excess_%_of_Expected,Prior Avg Expense,Excess Rank (Abs Desc),Excess_February 2024,Excess_March 2024,Excess_April 2024,Excess_May 2024,Excess_June 2024,Excess_July 2024,Excess_August 2024,Excess_September 2024,Excess_October 2024,Excess_November 2024,Excess_December 2024,Excess_January 2025,Excess_February 2025,Excess_March 2025,Excess_April 2025,Excess_May 2025,Excess_June 2025,GP Growth % [February 2024],GP Growth % [March 2024],GP Growth % [April 2024],GP Growth % [May 2024],GP Growth % [June 2024],GP Growth % [July 2024],GP Growth % [August 2024],GP Growth % [September 2024],GP Growth % [October 2024],GP Growth % [November 2024],GP Growth % [December 2024],GP Growth % [January 2025],GP Growth % [February 2025],GP Growth % [March 2025],GP Growth % [April 2025],GP Growth % [May 2025],GP Growth % [June 2025],Total Excess Costs (5% Buffer),# of Months Outpaced Growth,# of Months Did Not Decline with Profit,# of Months Opposite Direction than Profit,# of Months Outpaced Growth - Actual Months,# of Months Did Not Decline with Profit - Actual Months,# of Months Opposite Direction than Profit - Actual Months,Expense Growth % [February 2024],Expense Growth % [March 2024],Expense Growth % [April 2024],Expense Growth % [May 2024],Expense Growth % [June 2024],Expense Growth % [July 2024],Expense Growth % [August 2024],Expense Growth % [September 2024],Expense Growth % [October 2024],Expense Growth % [November 2024],Expense Growth % [December 2024],Expense Growth % [January 2025],Expense Growth % [February 2025],Expense Growth % [March 2025],Expense Growth % [April 2025],Expense Growth % [May 2025],Expense Growth % [June 2025],Expense Ð GP Growth _ [%] [February 2024],Expense Ð GP Growth _ [%] [March 2024],Expense Ð GP Growth _ [%] [April 2024],Expense Ð GP Growth _ [%] [May 2024],Expense Ð GP Growth _ [%] [June 2024],Expense Ð GP Growth _ [%] [July 2024],Expense Ð GP Growth _ [%] [August 2024],Expense Ð GP Growth _ [%] [September 2024],Expense Ð GP Growth _ [%] [October 2024],Expense Ð GP Growth _ [%] [November 2024],Expense Ð GP Growth _ [%] [December 2024],Expense Ð GP Growth _ [%] [January 2025],Expense Ð GP Growth _ [%] [February 2025],Expense Ð GP Growth _ [%] [March 2025],Expense Ð GP Growth _ [%] [April 2025],Expense Ð GP Growth _ [%] [May 2025],Expense Ð GP Growth _ [%] [June 2025],GP Growth % (Anchor vs Prior Avg),Expense Growth % (Anchor vs Prior Avg),Expense Growth % [July 2025],GP Growth % [July 2025],Expense Ð GP Growth _ [%] [July 2025]
617000 Bank Service Charges,190.32,192.59,185.64,163.62,174.31,198.18,182.18,205.52,187.66,169.46,218.54,175.53,160.52,172.95,128.05,238.58,206.88,196.65,18,FALSE,0,185.9544444,0.0011,-0.0009,10.30498391,Clamped,185.9544444,0,185.9544444,185.3252941,196.65,94.17236406,196.65,185.9544444,185.3252941,185.9544444,11.32470588,0.061107179,0.597434709,Expenses Grew Slower Than GP,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,0.34123839,2719.014396,Expenses trending up,Below Threshold,15,617000,0,1.057517074,196.65,0,196.65,0,0,185.3252941,21,18.25365173,0,0,0,31.8435908,0,11.79151711,0,0,62.0522291,0,0,14.83463032,0,77.60004572,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,216.3756648,6,4,10,"February 2024, June 2024, August 2024, November 2024, February 2025, April 2025","February 2024, June 2024, November 2024, February 2025","February 2024, June 2024, July 2024, September 2024, October 2024, November 2024, December 2024, January 2025, February 2025, June 2025",1.192728037,-3.608702425,-11.86166774,6.533431121,13.69399346,-8.073468564,12.8115051,-8.69015181,-9.698390707,28.96258704,-19.68060767,-8.551244801,7.743583354,-25.96126048,86.31784459,-13.28694777,-4.944895592,14.59103181,2.241114121,-3.852471004,-9.293519621,23.26836716,-24.13394839,11.47245423,-29.29313934,-28.74816081,41.61762605,-23.4761402,-24.58070343,14.24160872,-14.21751504,65.60136331,4.723442079,-7.945568714,10.22826058,6.110717879,0,0,0
617100 Credit Card Fees,653.81,277.55,365.73,863.31,469.85,378.34,321.16,447.28,516.37,542.76,836.48,581.29,687.11,755.33,535.41,508.83,737.54,940.74,18,FALSE,0,578.8272222,0.1496,0.792,325.5296531,Clamped,578.8272222,0,578.8272222,559.6501028,694.5926667,293.133773,694.5926667,578.8272222,557.5382353,578.8272222,383.2017647,0.687310287,6.719718198,Expenses Grew Faster Than GP,,Investigate - Potential Risk,Semi-variable,Margin Risk,Margin Risk Ð Investigate,Not Marketing,17.80847265,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense rose more",5,617100,0,1.2,940.74,0.0992,694.5926667,246.1473333,35.43765219,557.5382353,5,0,90.53866582,508.5855352,0,0,0,105.7615042,0,0,335.2684897,0,0,78.5130821,0,0,294.9107667,144.1918355,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,1557.769879,7,5,9,"March 2024, April 2024, August 2024, November 2024, February 2025, May 2025, June 2025","March 2024, April 2024, November 2024, February 2025, May 2025","March 2024, April 2024, May 2024, July 2024, November 2024, December 2024, February 2025, April 2025, May 2025",-57.54882917,31.7708521,136.0511853,-45.57574915,-19.47642865,-15.11339007,39.27014572,15.44670005,5.110676453,54.11599971,-30.50760329,18.20433863,9.928541282,-29.11575073,-4.96441979,44.94821453,27.55104808,-44.1505254,37.62066864,144.060382,-61.40269989,-9.902054948,-31.1738699,37.93109484,-5.156287481,-13.93909365,66.77103871,-34.30313582,2.174879998,16.42656665,-17.37200529,-25.68090107,62.95860438,24.55037496,10.22826058,68.73102873,0,0,0
617300 Interest Expense,6288.16,5871.88,5651.96,6014.96,5796.52,6348.3,5364.95,5911.74,6099.94,5506.97,5857.58,5831.56,5618.95,6335.28,5015.04,5357.02,5513.66,5827.24,18,FALSE,0,5789.539444,0.0912,-0.0952,90.62157681,Clamped,5789.539444,0,5789.539444,5787.321765,5827.24,2931.979485,5827.24,5789.539444,5787.321765,5789.539444,39.91823529,0.006897532,0.067436018,Expenses Grew Slower Than GP,,Review Volatility,Fixed or Consistent,Margin Improvement,Stable or Fixed Ð Low Concern,Not Marketing,-27.57615067,2719.014396,Expenses trending down,"Profit_ 10.2%, Expense did not rise as much",10,617300,0,1.00651184,5827.24,0,5827.24,0,0,5787.321765,21,111.8187783,0,533.0785961,0,816.9344864,0,206.70309,0,0,772.1707016,0,0,800.5032963,0,0,853.6091865,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,4094.818135,7,6,10,"February 2024, April 2024, June 2024, August 2024, November 2024, February 2025, May 2025","February 2024, April 2024, June 2024, November 2024, February 2025, May 2025","April 2024, May 2024, June 2024, July 2024, October 2024, November 2024, December 2024, January 2025, February 2025, May 2025",-6.620060558,-3.745308147,6.422550761,-3.631611848,9.519159772,-15.48997369,10.19189368,3.183495891,-9.720915288,6.366658979,-0.444210749,-3.645851196,12.74846724,-20.83948934,6.819088183,2.924013724,5.687329288,6.778243211,2.104508399,14.4317475,-19.45856259,19.09353347,-31.55045352,8.852842803,-17.41949164,-28.77068539,19.02169799,-4.239743279,-19.67530982,19.24649261,-9.095743891,-13.8973931,20.93440358,2.686656165,10.22826058,0.689753169,0,0,0
"617400 Licenses, Permits and Fee",0,202,0,0,0,0,0,0,0,0,0,0,0,499.89,0,703,248,0,4,FALSE,0,91.82722222,0.1899,2.5346,-134.6681764,Clamped,91.82722222,0,91.82722222,96.25761561,73.46177778,46.5037909,73.46177778,91.82722222,97.22882353,91.82722222,-97.22882353,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,14.78638803,2719.014396,Expenses trending up,Below Threshold,28,617400,0,0.8,0,0.1798,73.46177778,-73.46177778,-100,97.22882353,9,202,0,0,0,0,0,0,0,0,0,0,0,499.89,0,703,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,1404.89,2,2,0,"February 2024, February 2025","February 2024, February 2025",,0,-100,0,0,0,0,0,0,0,0,0,0,0,-100,0,-64.72261735,-100,13.39830377,-94.15018345,8.00919674,-15.82695074,9.574373699,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,-88.25625456,-20.71648128,-46.7122275,-103.0006731,10.22826058,-100,0,0,0
620000 Taxes,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,2,FALSE,0,33.33333333,0,0,0,Insufficient-data,33.33333333,0,33.33333333,35.29411765,26.66666667,16.88090226,26.66666667,33.33333333,35.29411765,33.33333333,-35.29411765,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-3.22807E-16,2719.014396,Expenses trending flat,Below Threshold,26,620000,0,0.8,0,0,26.66666667,-26.66666667,-100,35.29411765,14,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,600,2,2,0,"February 2024, May 2025","February 2024, May 2025",,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,13.39830377,-94.15018345,8.00919674,-15.82695074,9.574373699,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-103.0006731,10.22826058,-100,0,0,0
620500 Donation,0,0,0,0,3,0,0,0,0,500,2,0,0,0,0,0,0,3,4,FALSE,0,28.22222222,0.0909,8.8726,-42.48571915,Clamped,28.22222222,0,28.22222222,29.70588235,22.57777778,14.29249725,22.57777778,28.22222222,29.70588235,28.22222222,-26.70588235,-0.899009901,-8.789470059,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,0.546955624,2719.014396,Expenses trending up,Below Threshold,25,620500,0,0.8,3,0,22.57777778,-19.57777778,-86.71259843,29.70588235,15,0,0,0,3,0,0,0,0,500,0,0,0,0,0,0,0,3,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,506,0,0,0,,,,0,0,0,0,-100,0,0,0,0,-99.6,-100,0,0,0,0,0,0,13.39830377,5.849816546,8.00919674,-15.82695074,-90.4256263,-16.06047983,-1.339050877,-20.60298753,-19.04977011,-86.94496099,-103.7955325,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-89.9009901,0,0,0
630000 Royalties,5095.61,6436.46,6075.66,4945.41,5953.15,5026.92,4869.67,6535.68,6051.19,9194.18,7151.63,7150.47,8639.3,8630.82,7782.69,7785.78,8709.22,6835.71,18,FALSE,0.062,898.3398985,0.6954,0.8535,-559.7623491,Modeled,898.3398985,6496.82934,7395.169239,7395.169239,6835.71,3745.113874,6835.71,7395.169239,6825.52,6826.086111,10.19,0.001492927,0.014596094,Expenses Grew Slower Than GP,,Review Volatility,Variable,Margin Improvement,Neutral Ð Keep Watching,Not Marketing,188.7464087,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense did not rise as much",16,630000,0.913887343,1,6835.71,1,6835.71,0,0,6825.52,21,1768.794807,0,0,0,0,0,1357.319141,0,1687.692716,0,0,0,120.9389055,0,0,1936.400331,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,6871.145901,5,3,6,"February 2024, August 2024, October 2024, February 2025, May 2025","February 2024, February 2025, May 2025","February 2024, July 2024, September 2024, December 2024, May 2025, June 2025",26.313827,-5.605565792,-18.60291721,20.37727913,-15.55865382,-3.128157997,34.21196919,-7.413000637,51.94003163,-22.21568427,-0.016220078,20.82142852,-0.098156101,-9.826760377,0.039703496,11.86059714,-21.51180014,39.71213077,0.244250753,-10.59372047,4.550328392,-5.984280123,-19.18863783,32.87291831,-28.01598817,32.89026152,-9.560645263,-3.811752609,4.791969893,6.399869266,1.916985067,-20.67677778,29.87098699,-24.51247326,10.22826058,0.149292655,0,0,0
630100 Advert. & Marketing Fund,0,0,0,0,0,556.85,0,-1499.25,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,-52.35555556,0,0,0,Insufficient-data,-52.35555556,0,-52.35555556,-55.43529412,-52.35555556,-26.51427049,-52.35555556,-52.35555556,-55.43529412,-52.35555556,55.43529412,-1,-9.776833436,Expenses Grew Slower Than GP,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Unclassified,0.618988648,2719.014396,Expenses trending up,Below Threshold,9,630100,0,1,0,0,-52.35555556,52.35555556,-100,-55.43529412,10,0,0,0,0,556.85,0,0,0,0,0,0,0,0,0,0,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,556.85,1,1,0,June 2024,June 2024,,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,13.39830377,5.849816546,8.00919674,-15.82695074,9.574373699,-116.0604798,-1.339050877,-120.6029875,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-100,0,0,0
630200 Software Licenses,6,509.94,6,258.16,2062.63,259.17,259.17,7.2,511.14,259.17,259.17,259.17,740.66,259.17,259.17,259.17,259.17,259.17,18,FALSE,0,371.8572222,0.0061,2.0428,-95.22752604,Clamped,371.8572222,0,371.8572222,378.4858824,297.4857778,188.3185627,297.4857778,371.8572222,378.4858824,371.8572222,-119.3158824,-0.315245265,-3.082100449,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-8.784427245,2719.014396,Expenses trending down,Below Threshold,29,630200,0,0.8,259.17,0,297.4857778,-38.31577778,-12.87986877,378.4858824,12,504.4438982,0,252.3405518,1750.703144,0,0,0,502.0965849,0,19.83956459,0,426.9879521,0,17.47776507,0,33.71902738,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,3507.608488,8,5,4,"February 2024, April 2024, May 2024, September 2024, November 2024, January 2025, March 2025, May 2025","February 2024, April 2024, November 2024, March 2025, May 2025","February 2024, April 2024, August 2024, October 2024",8399,-98.82339099,4202.666667,698.9735048,-87.4349738,0,-97.22190068,6999.166667,-49.29569198,0,0,185.7815334,-65.0082359,0,0,0,0,8412.398304,-92.97357444,4210.675863,683.1465541,-77.8606001,-16.06047983,-98.56095156,6978.563679,-68.34546209,12.65503901,-3.79553253,169.7520747,-58.51021053,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-31.52452652,0,0,0
700100 Other Income,297.9,305.96,264.31,169.66,299.21,215.81,246.2,310.26,198.1,210.07,386.49,366.36,398.29,220.47,337.25,311.52,286.39,298.09,18,FALSE,0,284.5744444,0.1441,0.4553,1.487710217,Clamped,284.5744444,0,284.5744444,283.8495336,298.09,144.1162015,298.09,284.5744444,283.7794118,284.5744444,14.31058824,0.050428564,0.493031671,Expenses Grew Slower Than GP,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,3.691496388,2719.014396,Expenses trending up,Below Threshold,14,700100,0,1.047493919,298.09,0.0882,298.09,0,0,283.7794118,21,33.07854693,0,0,94.21499537,0,0,48.45325674,0,0,192.5009404,0,0,0,131.6479356,0,15.39996647,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,515.2956415,6,4,6,"February 2024, May 2024, August 2024, November 2024, March 2025, May 2025","February 2024, November 2024, March 2025, May 2025","February 2024, September 2024, November 2024, December 2024, March 2025, April 2025",2.705605908,-13.61289057,-35.81022284,76.35859955,-27.87339995,14.08183124,26.01949634,-36.15032553,6.042402827,83.98152997,-5.208414189,8.715471121,-44.64586106,52.96865787,-7.629355078,-8.066897791,4.085338175,16.10390968,-7.763074028,-27.8010261,60.53164881,-18.29902625,-1.978648587,24.68044547,-56.75331307,-13.00736728,96.63656897,-9.003946719,-7.313987507,-38.14783569,64.71240331,-28.34583636,9.943492062,1.084665053,10.22826058,5.042856403,0,0,0
MSO Service Fee 511000,1500,1500,2200,2200,2200,2200,2200,3195.3,2200,2200,2200,2400,2200,2200,2200,2032.7,1500,1500,18,FALSE,0,2101.555556,0.0046,-0.0558,-587.9928877,Clamped,2101.555556,0,2101.555556,2136.941176,1681.244444,1064.284618,1681.244444,2101.555556,2136.941176,2101.555556,-636.9411765,-0.298062101,-2.914103514,Costs Declined While GP Grew,1,Strong Cost Control,Fixed or Consistent,Margin Improvement,Stable or Fixed Ð Low Concern,Not Marketing,-4.293911249,2719.014396,Expenses trending down,"Profit_ 10.2%, Expense did not rise as much",36,,0,0.8,1500,0,1681.244444,-181.2444444,-10.78037433,2136.941176,6,125.9745565,712.7472482,66.20232829,0,100.6362214,0,855.8408807,0,0,168.4108582,6.498284334,0,32.95655807,148.3623998,0,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,2217.629335,9,7,4,"February 2024, March 2024, April 2024, June 2024, August 2024, November 2024, December 2024, February 2025, March 2025","February 2024, March 2024, April 2024, June 2024, November 2024, February 2025, March 2025","March 2024, September 2024, January 2025, April 2025",0,46.66666667,0,0,0,0,45.24090909,-31.14887491,0,0,9.090909091,-8.333333333,0,0,-7.604545455,-26.20652334,0,13.39830377,52.51648321,8.00919674,-15.82695074,9.574373699,-16.06047983,43.90185821,-51.75186244,-19.04977011,12.65503901,5.295376561,-24.36279196,6.498025367,11.74374544,-28.32102673,-8.19613349,-3.000673122,10.22826058,-29.80621009,0,0,0
Medical Director Fees 512000,3003.39,2998.12,2999.4,3123.13,3003.79,3004.11,2995.89,3004.44,2995.56,3000,2996.2,3000,3004.39,2998.73,3000,3000,3000,2999.44,18,FALSE,0,3007.032778,0.1506,-0.0202,-2.097933372,Clamped,3007.032778,0,3007.032778,3007.434212,2999.44,1522.842793,2999.44,3007.032778,3007.479412,3007.032778,-8.039411765,-0.002673139,-0.026134839,Costs Declined While GP Grew,,Strong Cost Control,Fixed or Consistent,Margin Improvement,Stable or Fixed Ð Low Concern,Not Marketing,-1.474602683,2719.014396,Expenses trending down,"Profit_ 10.2%, Expense did not rise as much",22,,0,0.997474993,2999.44,0.1012,2999.44,0,0,3007.479412,21,246.9638156,26.75851982,213.987847,0,137.7245797,0,0,0,0,225.8511702,0,0,39.34652432,203.4967178,0,390.3116956,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,1484.44087,8,8,8,"February 2024, March 2024, April 2024, June 2024, November 2024, February 2025, March 2025, May 2025","February 2024, March 2024, April 2024, June 2024, November 2024, February 2025, March 2025, May 2025","March 2024, April 2024, May 2024, June 2024, July 2024, September 2024, March 2025, June 2025",-0.175468387,0.042693421,4.125158365,-3.821166586,0.010653208,-0.273625134,0.285390986,-0.295562567,0.148219365,-0.126666667,0.126827315,0.146333333,-0.188390988,0.042351262,0,0,-0.018666667,13.22283538,5.892509967,12.13435511,-19.64811733,9.585026907,-16.33410496,-1.053659891,-20.8985501,-18.90155074,12.52837234,-3.668705216,-15.88312529,6.309634379,11.78609671,-20.71648128,18.01038985,-3.019339789,10.22826058,-0.267313942,0,0,0
64902 Office Expense,0,0,5.45,2.74,38.05,10.05,3,157.55,57.55,0,0,0,0,0,0,0,0,0,7,FALSE,0,15.24388889,0.0595,7.3116,-10.64370641,Clamped,15.24388889,0,15.24388889,16.14058824,12.19511111,7.719917953,12.19511111,15.24388889,16.14058824,15.24388889,-16.14058824,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-1.092868937,2719.014396,Expenses trending down,Below Threshold,24,,0,0.8,0,0,12.19511111,-12.19511111,-100,16.14058824,16,0,5.45,0,34.73934155,0,0,154.3598285,0,0,0,0,0,0,0,0,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,194.54917,3,1,2,"March 2024, May 2024, August 2024",March 2024,"July 2024, September 2024",0,0,-49.72477064,1288.686131,-73.58738502,-70.14925373,5151.666667,-63.47191368,-100,0,0,0,0,0,0,0,0,13.39830377,5.849816546,-41.7155739,1272.859181,-64.01301132,-86.20973356,5150.327616,-84.07490121,-119.0497701,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-100,0,0,0
Dispute Settlement Fee 800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,205.8823529,0,0,0,0,205.8823529,194.4444444,-205.8823529,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,0,2719.014396,Expenses trending flat,Below Threshold,35,,0,1,0,0,0,0,,205.8823529,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,3500,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,13.39830377,5.849816546,8.00919674,-15.82695074,9.574373699,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,-81.98961015,-3.000673122,10.22826058,-100,0,0,0
Charitable Contributions 850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.72,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,5.689411765,0,0,0,0,5.689411765,5.373333333,-5.689411765,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,0,2719.014396,Expenses trending flat,Below Threshold,21,,0,1,0,0,0,0,,5.689411765,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.72,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,96.72,1,1,0,May 2025,May 2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,13.39830377,5.849816546,8.00919674,-15.82695074,9.574373699,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-103.0006731,10.22826058,-100,0,0,0
